'Name or Address' , 'Policy' , 'Data'
'*.ausdea.xyz' , 'BlockNxdomainDomain' , ''
'*.avasters.com' , 'BlockNxdomainDomain' , ''
'*.averadevelopment.com' , 'BlockNxdomainDomain' , ''
'*.avidsontre.com' , 'BlockNxdomainDomain' , ''
'*.awiplastics.com' , 'BlockNxdomainDomain' , ''
'*.awrah.live' , 'BlockNxdomainDomain' , ''
'*.aws-check.net' , 'BlockNxdomainDomain' , ''
'*.awsstatics.com' , 'BlockNxdomainDomain' , ''
'*.awsyscloud.com' , 'BlockNxdomainDomain' , ''
'*.aximilian.com' , 'BlockNxdomainDomain' , ''
'*.axisfund.xyz' , 'BlockNxdomainDomain' , ''
'*.axmjvi9.sbs' , 'BlockNxdomainDomain' , ''
'*.azurewebsites.tech' , 'BlockNxdomainDomain' , ''
'*.babysleepwear.xyz' , 'BlockNxdomainDomain' , ''
'*.badaibet787.xyz' , 'BlockNxdomainDomain' , ''
'*.bafangqudao.com' , 'BlockNxdomainDomain' , ''
'*.baidusecurity.net' , 'BlockNxdomainDomain' , ''
'*.balancefitstudio.com' , 'BlockNxdomainDomain' , ''
'*.balans2.com' , 'BlockNxdomainDomain' , ''
'*.bambinos.bounceme.net' , 'BlockNxdomainDomain' , ''
'*.bancaibkpersonalprest-online.xyz' , 'BlockNxdomainDomain' , ''
'*.bankcfb.com' , 'BlockNxdomainDomain' , ''
'*.bargainblog.com.au' , 'BlockNxdomainDomain' , ''
'*.bargemo.com' , 'BlockNxdomainDomain' , ''
'*.barnswecken.xyz' , 'BlockNxdomainDomain' , ''
'*.baronerosso.it' , 'BlockNxdomainDomain' , ''
'*.basketsalute.com' , 'BlockNxdomainDomain' , ''
'*.bbcweather.org' , 'BlockNxdomainDomain' , ''
'*.bbtt.site' , 'BlockNxdomainDomain' , ''
'*.bbtt.space' , 'BlockNxdomainDomain' , ''
'*.bbva.xyz' , 'BlockNxdomainDomain' , ''
'*.beeztrend.com' , 'BlockNxdomainDomain' , ''
'*.beholdannat.xyz' , 'BlockNxdomainDomain' , ''
'*.bendigofinance.xyz' , 'BlockNxdomainDomain' , ''
'*.beroxe.com' , 'BlockNxdomainDomain' , ''
'*.bestairlinepricetags.com' , 'BlockNxdomainDomain' , ''
'*.bestofdeeppharse.xyz' , 'BlockNxdomainDomain' , ''
'*.beststreammusic.com' , 'BlockNxdomainDomain' , ''
'*.bestwalmartpurchases.xyz' , 'BlockNxdomainDomain' , ''
'*.betagen.xyz' , 'BlockNxdomainDomain' , ''
'*.bfwigb8.sbs' , 'BlockNxdomainDomain' , ''
'*.bibei90.xyz' , 'BlockNxdomainDomain' , ''
'*.bichonfrisecare.xyz' , 'BlockNxdomainDomain' , ''
'*.bijoyservices.net' , 'BlockNxdomainDomain' , ''
'*.bimedia.xyz' , 'BlockNxdomainDomain' , ''
'*.bing-cdn.com' , 'BlockNxdomainDomain' , ''
'*.birdsupplies.xyz' , 'BlockNxdomainDomain' , ''
'*.bireyselinternet.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoin-airports.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoin-loans.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoin-properties.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoin-property.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoin-vault.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoinairport.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoinairportlounge.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoinairports.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoinlocker.xyz' , 'BlockNxdomainDomain' , ''
'*.bitcoinprop.xyz' , 'BlockNxdomainDomain' , ''
'*.bizviewportal.net' , 'BlockNxdomainDomain' , ''
'*.bla7ufw.bond' , 'BlockNxdomainDomain' , ''
'*.blackcake.net' , 'BlockNxdomainDomain' , ''
'*.blacklivesmatters.info' , 'BlockNxdomainDomain' , ''
'*.blesis.live' , 'BlockNxdomainDomain' , ''
'*.bless.christmas' , 'BlockNxdomainDomain' , ''
'*.bogacinsitesi.xyz' , 'BlockNxdomainDomain' , ''
'*.bogorcenter.com' , 'BlockNxdomainDomain' , ''
'*.bol-north.com' , 'BlockNxdomainDomain' , ''
'*.bonespinehealth.com' , 'BlockNxdomainDomain' , ''
'*.booking-cdn.com' , 'BlockNxdomainDomain' , ''
'*.boryung.tk' , 'BlockNxdomainDomain' , ''
'*.bostondynamlcs.com' , 'BlockNxdomainDomain' , ''
'*.bounceinsights.xyz' , 'BlockNxdomainDomain' , ''
'*.bowenpress.net' , 'BlockNxdomainDomain' , ''
'*.bowenpress.org' , 'BlockNxdomainDomain' , ''
'*.bowenpross.com' , 'BlockNxdomainDomain' , ''
'*.boycottverichip.org' , 'BlockNxdomainDomain' , ''
'*.boyemstruma.xyz' , 'BlockNxdomainDomain' , ''
'*.broadcast-news.info' , 'BlockNxdomainDomain' , ''
'*.broadcastnews.pro' , 'BlockNxdomainDomain' , ''
'*.brownvelocity.org' , 'BlockNxdomainDomain' , ''
'*.bsmraau.edu.pk' , 'BlockNxdomainDomain' , ''
'*.bsnbase.xyz' , 'BlockNxdomainDomain' , ''
'*.bsolutions-cloude.com' , 'BlockNxdomainDomain' , ''
'*.bssl.ru' , 'BlockNxdomainDomain' , ''
'*.bubutgacor.xyz' , 'BlockNxdomainDomain' , ''
'*.buhnews.com' , 'BlockNxdomainDomain' , ''
'*.buildneeds.net' , 'BlockNxdomainDomain' , ''
'*.builtbymichigan.org' , 'BlockNxdomainDomain' , ''
'*.bulgariatripholidays.com' , 'BlockNxdomainDomain' , ''
'*.businessconsults.net' , 'BlockNxdomainDomain' , ''
'*.businessdailyafrica.net' , 'BlockNxdomainDomain' , ''
'*.businesspectator.com' , 'BlockNxdomainDomain' , ''
'*.bvcfhufd.ink' , 'BlockNxdomainDomain' , ''
'*.bvnghean.com' , 'BlockNxdomainDomain' , ''
'*.bvnnmxcgrf.life' , 'BlockNxdomainDomain' , ''
'*.bw-guardian.com' , 'BlockNxdomainDomain' , ''
'*.bw638jumpa.xyz' , 'BlockNxdomainDomain' , ''
'*.bw639jumpb.xyz' , 'BlockNxdomainDomain' , ''
'*.bw640down.xyz' , 'BlockNxdomainDomain' , ''
'*.bw641down.xyz' , 'BlockNxdomainDomain' , ''
'*.bx9q4i.sbs' , 'BlockNxdomainDomain' , ''
'*.bynsd.xyz' , 'BlockNxdomainDomain' , ''
'*.byqu6gb.sbs' , 'BlockNxdomainDomain' , ''
'*.byronorenstein.com' , 'BlockNxdomainDomain' , ''
'*.c01-cdn19-oxble.xyz' , 'BlockNxdomainDomain' , ''
'*.c6dxpss.sbs' , 'BlockNxdomainDomain' , ''
'*.c761d1.sbs' , 'BlockNxdomainDomain' , ''
'*.c8otc.xyz' , 'BlockNxdomainDomain' , ''
'*.cabba-cacao.com' , 'BlockNxdomainDomain' , ''
'*.cabbookings.xyz' , 'BlockNxdomainDomain' , ''
'*.cabinet-salyk.kz' , 'BlockNxdomainDomain' , ''
'*.cachecontent.com' , 'BlockNxdomainDomain' , ''
'*.cadence-ed.org' , 'BlockNxdomainDomain' , ''
'*.cakeduer.com' , 'BlockNxdomainDomain' , ''
'*.campingtentsinfo.xyz' , 'BlockNxdomainDomain' , ''
'*.canberrasec.net' , 'BlockNxdomainDomain' , ''
'*.capybaraclub.xyz' , 'BlockNxdomainDomain' , ''
'*.car-insurances.xyz' , 'BlockNxdomainDomain' , ''
'*.cargillnotice.com' , 'BlockNxdomainDomain' , ''
'*.caservices.xyz' , 'BlockNxdomainDomain' , ''
'*.cash24vn.xyz' , 'BlockNxdomainDomain' , ''
'*.castorbyg.dk' , 'BlockNxdomainDomain' , ''
'*.ccidmeekparry.info' , 'BlockNxdomainDomain' , ''
'*.ccvzvhjhdf.website' , 'BlockNxdomainDomain' , ''
'*.cdigroups.com' , 'BlockNxdomainDomain' , ''
'*.cdn-googleapi.com' , 'BlockNxdomainDomain' , ''
'*.cdn-logichosting.com' , 'BlockNxdomainDomain' , ''
'*.cdn-skype.com' , 'BlockNxdomainDomain' , ''
'*.cdn-yahooapi.com' , 'BlockNxdomainDomain' , ''
'*.cdncontentstorage.com' , 'BlockNxdomainDomain' , ''
'*.cdnimagescache.com' , 'BlockNxdomainDomain' , ''
'*.cdnj-cloudflare.com' , 'BlockNxdomainDomain' , ''
'*.cdnmobile.io' , 'BlockNxdomainDomain' , ''
'*.cdnmsnupdate.com' , 'BlockNxdomainDomain' , ''
'*.celltrion.me' , 'BlockNxdomainDomain' , ''
'*.celltrion.ml' , 'BlockNxdomainDomain' , ''
'*.centent-management.net' , 'BlockNxdomainDomain' , ''
'*.centosupdatecdn.com' , 'BlockNxdomainDomain' , ''
'*.cgqbg2y3v.shop' , 'BlockNxdomainDomain' , ''
'*.cham.com.tw' , 'BlockNxdomainDomain' , ''
'*.changepassword-hotmail.com' , 'BlockNxdomainDomain' , ''
'*.channel-w.in' , 'BlockNxdomainDomain' , ''
'*.check-italia.ml' , 'BlockNxdomainDomain' , ''
'*.checkecc.com' , 'BlockNxdomainDomain' , ''
'*.checkinternet.org' , 'BlockNxdomainDomain' , ''
'*.chefsquest.com' , 'BlockNxdomainDomain' , ''
'*.chemscalere.com' , 'BlockNxdomainDomain' , ''
'*.chessandlinkss.com' , 'BlockNxdomainDomain' , ''
'*.chic-fit.com' , 'BlockNxdomainDomain' , ''
'*.chinadagitaltimes.net' , 'BlockNxdomainDomain' , ''
'*.chinesekungfu.org' , 'BlockNxdomainDomain' , ''
'*.chly9s9s.shop' , 'BlockNxdomainDomain' , ''
'*.chongzhonglaw.com' , 'BlockNxdomainDomain' , ''
'*.christienoll.xyz' , 'BlockNxdomainDomain' , ''
'*.christienollmache.xyz' , 'BlockNxdomainDomain' , ''
'*.chromeupdates.online' , 'BlockNxdomainDomain' , ''
'*.cim-re.com' , 'BlockNxdomainDomain' , ''
'*.cisco-cdn.com' , 'BlockNxdomainDomain' , ''
'*.cissco.net' , 'BlockNxdomainDomain' , ''
'*.citicbank1.ac.cn' , 'BlockNxdomainDomain' , ''
'*.civilregister.co' , 'BlockNxdomainDomain' , ''
'*.ckusshani.com' , 'BlockNxdomainDomain' , ''
'*.classeglk.com' , 'BlockNxdomainDomain' , ''
'*.clawsindia.com' , 'BlockNxdomainDomain' , ''
'*.clazc.com' , 'BlockNxdomainDomain' , ''
'*.clickermovies.com' , 'BlockNxdomainDomain' , ''
'*.clickstatistic.com' , 'BlockNxdomainDomain' , ''
'*.cloud01.tk' , 'BlockNxdomainDomain' , ''
'*.cloud20.tk' , 'BlockNxdomainDomain' , ''
'*.cloudburstcdn.net' , 'BlockNxdomainDomain' , ''
'*.cloudburstdns.com' , 'BlockNxdomainDomain' , ''
'*.cloudburstercdn.net' , 'BlockNxdomainDomain' , ''
'*.cloudflare-cdn-r5.com' , 'BlockNxdomainDomain' , ''
'*.cloudimagecdn.com' , 'BlockNxdomainDomain' , ''
'*.cloudlogobox.com' , 'BlockNxdomainDomain' , ''
'*.cloudmall.club' , 'BlockNxdomainDomain' , ''
'*.cloudmicrosoft.net' , 'BlockNxdomainDomain' , ''
'*.cloudmsn.net' , 'BlockNxdomainDomain' , ''
'*.cloudpackages.net' , 'BlockNxdomainDomain' , ''
'*.cloudsbox.net' , 'BlockNxdomainDomain' , ''
'*.cnn24-7.online' , 'BlockNxdomainDomain' , ''
'*.cnnzapmeta.com' , 'BlockNxdomainDomain' , ''
'*.coazoa.com' , 'BlockNxdomainDomain' , ''
'*.codevexillium.org' , 'BlockNxdomainDomain' , ''
'*.coindmarket.com' , 'BlockNxdomainDomain' , ''
'*.com-accolintidentifier.info' , 'BlockNxdomainDomain' , ''
'*.com-identifier-servicelog.info' , 'BlockNxdomainDomain' , ''
'*.com-identifier-servicelog.name' , 'BlockNxdomainDomain' , ''
'*.com-mailbox.com' , 'BlockNxdomainDomain' , ''
'*.com-myaccuants.com' , 'BlockNxdomainDomain' , ''
'*.com-privacy-help.info' , 'BlockNxdomainDomain' , ''
'*.com-sessionidentifier.info' , 'BlockNxdomainDomain' , ''
'*.com-useraccount.info' , 'BlockNxdomainDomain' , ''
'*.com-users.net' , 'BlockNxdomainDomain' , ''
'*.companyoukeep.info' , 'BlockNxdomainDomain' , ''
'*.comsathosting.pk' , 'BlockNxdomainDomain' , ''
'*.confirm-identity.info' , 'BlockNxdomainDomain' , ''
'*.confirm-session-identification.info' , 'BlockNxdomainDomain' , ''
'*.confirm-session-identifier.info' , 'BlockNxdomainDomain' , ''
'*.confirmation-recovery-options.info' , 'BlockNxdomainDomain' , ''
'*.confirmation-service.info' , 'BlockNxdomainDomain' , ''
'*.confirmation-users-service.info' , 'BlockNxdomainDomain' , ''
'*.conservationminnesota.net' , 'BlockNxdomainDomain' , ''
'*.continue-session-identifier.info' , 'BlockNxdomainDomain' , ''
'*.contortonset.com' , 'BlockNxdomainDomain' , ''
'*.copy-note.net' , 'BlockNxdomainDomain' , ''
'*.corporatebusinesssolution.net' , 'BlockNxdomainDomain' , ''
'*.corrosionpedia.ca' , 'BlockNxdomainDomain' , ''
'*.corsetsworld.com' , 'BlockNxdomainDomain' , ''
'*.cortanaupdates.com' , 'BlockNxdomainDomain' , ''
'*.corycs.com' , 'BlockNxdomainDomain' , ''
'*.cpdcast.com' , 'BlockNxdomainDomain' , ''
'*.cpmup.com' , 'BlockNxdomainDomain' , ''
'*.creativebox.web.tr' , 'BlockNxdomainDomain' , ''
'*.creativefishstudio.com' , 'BlockNxdomainDomain' , ''
'*.creekcounty.net' , 'BlockNxdomainDomain' , ''
